minute_of_day,time,2024,2025,2026
1334,22:14,9.6611,3.728,12.7362
1335,22:15,9.6491,3.7634,12.7621
1336,22:16,10.2822,3.7693,12.5059
1337,22:17,9.528,3.738,12.485
1338,22:18,9.6415,3.7305,12.0795
1339,22:19,9.9774,3.7451,12.2774
1340,22:20,9.9945,3.706,12.0108
1341,22:21,9.8024,3.7284,11.9217
1342,22:22,10.0552,3.8046,12.0025
1343,22:23,9.6421,3.8527,11.855
1344,22:24,10.0236,3.7561,12.1253
1345,22:25,10.4544,3.7272,11.8568
1346,22:26,10.5285,3.7279,11.8523
1347,22:27,10.916,3.7242,11.7684
1348,22:28,10.7782,3.7806,11.4219
1349,22:29,11.0126,3.7,11.3567
1350,22:30,10.5083,3.7673,11.4102
1351,22:31,10.6015,3.7226,11.2275
1352,22:32,10.5647,3.7147,12.5189
1353,22:33,10.3889,3.7733,12.667
1354,22:34,10.4083,3.7316,11.7201
1355,22:35,10.3986,3.7177,11.4113
1356,22:36,10.2603,3.7276,11.4975
1357,22:37,10.1345,3.705,11.2315
1358,22:38,10.5441,3.7232,11.3348
1359,22:39,10.5324,3.7014,11.3535
1360,22:40,10.7364,3.7,11.0813
1361,22:41,10.5196,3.7,11.2608
1362,22:42,10.6749,3.7,11.0998
1363,22:43,10.6458,3.7321,10.9347
1364,22:44,11.0136,3.7059,11.1628
1365,22:45,10.4127,3.7,10.7687
1366,22:46,10.8196,3.717,11.1628
1367,22:47,10.543,3.7107,11.5808
1368,22:48,10.9851,3.7251,12.0049
1369,22:49,10.9357,3.7112,11.5073
1370,22:50,10.8722,3.7207,11.3824
1371,22:51,10.71,3.7319,11.4688
1372,22:52,10.3004,3.7268,10.8075
1373,22:53,10.178,3.7095,10.7509
1374,22:54,10.6401,3.7401,12.0722
1375,22:55,10.6951,3.7138,11.2906
1376,22:56,10.5665,3.7023,10.9821
1377,22:57,10.3148,3.7,11.0134
1378,22:58,10.5056,3.7015,10.8218
1379,22:59,10.5411,3.7,10.8972
1380,23:00,6.157,3.7293,10.7376
1381,23:01,9.0085,3.7338,11.726
1382,23:02,9.4414,3.7454,11.3559
1383,23:03,8.9769,4.8306,11.0336
1384,23:04,8.6116,4.0533,11.0118
1385,23:05,8.1108,3.7792,10.6074
1386,23:06,7.7327,4.0068,10.6226
1387,23:07,7.8436,4.6668,11.323
1388,23:08,7.6357,3.8896,10.6569
1389,23:09,7.3202,3.7979,10.3574
1390,23:10,7.6752,3.739,10.3729
1391,23:11,7.8686,3.7095,10.8394
1392,23:12,8.0458,3.7424,9.6562
1393,23:13,8.0044,3.7212,9.4412
1394,23:14,7.9036,3.7719,9.5117
1395,23:15,8.3866,3.7701,9.1075
1396,23:16,7.8648,3.7425,8.8547
1397,23:17,7.908,3.7225,8.5451
1398,23:18,7.7713,3.7023,8.732
1399,23:19,7.8778,3.7043,9.388
1400,23:20,7.9201,3.7031,9.7491
1401,23:21,7.9542,3.7071,9.2041
1402,23:22,8.4687,3.7142,9.3892
1403,23:23,8.399,3.7311,9.7553
1404,23:24,8.3827,3.7344,9.557
1405,23:25,8.4322,3.7413,10.0536
1406,23:26,8.4915,3.7183,9.3631
1407,23:27,8.1839,3.736,9.3974
1408,23:28,7.961,3.7446,9.2363
1409,23:29,8.1132,3.7072,9.0107
1410,23:30,7.6987,3.7028,9.3496
1411,23:31,7.7288,3.7058,9.3245
1412,23:32,7.5667,3.7096,9.2374
1413,23:33,7.5079,3.7046,9.3011
1414,23:34,7.2144,3.7173,9.0542
1415,23:35,7.3314,3.7022,9.1934
1416,23:36,7.3659,3.7056,9.274
1417,23:37,7.4679,3.7385,9.274
1418,23:38,7.4939,3.7095,9.357
1419,23:39,7.3798,3.7021,10.0018
1420,23:40,7.5801,3.7047,9.8632
1421,23:41,7.4287,3.7049,9.5468
1422,23:42,7.1193,3.7052,9.8214
1423,23:43,7.4793,3.7081,10.0792
1424,23:44,7.4112,3.7025,9.5753
1425,23:45,7.1943,3.7024,9.3511
1426,23:46,7.7218,3.7051,9.0509
1427,23:47,7.4016,3.7016,9.2053
1428,23:48,7.3165,3.7028,9.214
1429,23:49,7.3232,3.7057,9.2218
1430,23:50,7.2538,3.7037,9.114
1431,23:51,7.2999,3.7033,8.8784
1432,23:52,7.298,3.7034,8.8376
1433,23:53,7.4971,3.7064,9.1412
1434,23:54,7.1855,3.7049,8.7825
1435,23:55,7.3015,3.7033,8.6152
1436,23:56,7.2161,3.7037,8.9449
1437,23:57,7.2565,3.7026,8.7561
1438,23:58,7.482,3.7077,8.9638
1439,23:59,5.8145,3.7036,8.9058
